city,year,shinkansen_flag
小田原市,1992,1
小田原市,1993,1
小田原市,1994,1
小田原市,1995,1
小田原市,1996,1
小田原市,1997,1
小田原市,1998,1
小田原市,1999,1
小田原市,2000,1
小田原市,2001,1
小田原市,2002,1
小田原市,2003,1
小田原市,2004,1
小田原市,2005,1
小田原市,2006,1
小田原市,2007,1
小田原市,2008,1
小田原市,2009,1
小田原市,2010,1
小田原市,2011,1
小田原市,2012,1
小田原市,2013,1
小田原市,2014,1
小田原市,2015,1
小田原市,2016,1
小田原市,2017,1
小田原市,2018,1
小田原市,2019,1
小田原市,2020,1
小田原市,2021,1
尾道市,1992,1
尾道市,1993,1
尾道市,1994,1
尾道市,1995,1
尾道市,1996,1
尾道市,1997,1
尾道市,1998,1
尾道市,1999,1
尾道市,2000,1
尾道市,2001,1
尾道市,2002,1
尾道市,2003,1
尾道市,2004,1
尾道市,2005,1
尾道市,2006,1
尾道市,2007,1
尾道市,2008,1
尾道市,2009,1
尾道市,2010,1
尾道市,2011,1
尾道市,2012,1
尾道市,2013,1
尾道市,2014,1
尾道市,2015,1
尾道市,2016,1
尾道市,2017,1
尾道市,2018,1
尾道市,2019,1
尾道市,2020,1
尾道市,2021,1
山口市,1992,1
山口市,1993,1
山口市,1994,1
山口市,1995,1
山口市,1996,1
山口市,1997,1
山口市,1998,1
山口市,1999,1
山口市,2000,1
山口市,2001,1
山口市,2002,1
山口市,2003,1
山口市,2004,1
山口市,2005,1
山口市,2006,1
山口市,2007,1
山口市,2008,1
山口市,2009,1
山口市,2010,1
山口市,2011,1
山口市,2012,1
山口市,2013,1
山口市,2014,1
山口市,2015,1
山口市,2016,1
山口市,2017,1
山口市,2018,1
山口市,2019,1
山口市,2020,1
山口市,2021,1
山陽小野田市,1992,1
山陽小野田市,1993,1
山陽小野田市,1994,1
山陽小野田市,1995,1
山陽小野田市,1996,1
山陽小野田市,1997,1
山陽小野田市,1998,1
山陽小野田市,1999,1
山陽小野田市,2000,1
山陽小野田市,2001,1
山陽小野田市,2002,1
山陽小野田市,2003,1
山陽小野田市,2004,1
山陽小野田市,2005,1
山陽小野田市,2006,1
山陽小野田市,2007,1
山陽小野田市,2008,1
山陽小野田市,2009,1
山陽小野田市,2010,1
山陽小野田市,2011,1
山陽小野田市,2012,1
山陽小野田市,2013,1
山陽小野田市,2014,1
山陽小野田市,2015,1
山陽小野田市,2016,1
山陽小野田市,2017,1
山陽小野田市,2018,1
山陽小野田市,2019,1
山陽小野田市,2020,1
山陽小野田市,2021,1
岡山市,1992,1
岡山市,1993,1
岡山市,1994,1
岡山市,1995,1
岡山市,1996,1
岡山市,1997,1
岡山市,1998,1
岡山市,1999,1
岡山市,2000,1
岡山市,2001,1
岡山市,2002,1
岡山市,2003,1
岡山市,2004,1
岡山市,2005,1
岡山市,2006,1
岡山市,2007,1
岡山市,2008,1
岡山市,2009,1
岡山市,2010,1
岡山市,2011,1
岡山市,2012,1
岡山市,2013,1
岡山市,2014,1
岡山市,2015,1
岡山市,2016,1
岡山市,2017,1
岡山市,2018,1
岡山市,2019,1
岡山市,2020,1
岡山市,2021,1
岩国市,1992,1
岩国市,1993,1
岩国市,1994,1
岩国市,1995,1
岩国市,1996,1
岩国市,1997,1
岩国市,1998,1
岩国市,1999,1
岩国市,2000,1
岩国市,2001,1
岩国市,2002,1
岩国市,2003,1
岩国市,2004,1
岩国市,2005,1
岩国市,2006,1
岩国市,2007,1
岩国市,2008,1
岩国市,2009,1
岩国市,2010,1
岩国市,2011,1
岩国市,2012,1
岩国市,2013,1
岩国市,2014,1
岩国市,2015,1
岩国市,2016,1
岩国市,2017,1
岩国市,2018,1
岩国市,2019,1
岩国市,2020,1
岩国市,2021,1
岩手町,1992,0
岩手町,1993,0
岩手町,1994,0
岩手町,1995,0
岩手町,1996,0
岩手町,1997,0
岩手町,1998,0
岩手町,1999,0
岩手町,2000,0
岩手町,2001,0
岩手町,2002,0
岩手町,2003,0
岩手町,2004,0
岩手町,2005,0
岩手町,2006,0
岩手町,2007,0
岩手町,2008,0
岩手町,2009,0
岩手町,2010,1
岩手町,2011,1
岩手町,2012,1
岩手町,2013,1
岩手町,2014,1
岩手町,2015,1
岩手町,2016,1
岩手町,2017,1
岩手町,2018,1
岩手町,2019,1
岩手町,2020,1
岩手町,2021,1
掛川市,1992,1
掛川市,1993,1
掛川市,1994,1
掛川市,1995,1
掛川市,1996,1
掛川市,1997,1
掛川市,1998,1
掛川市,1999,1
掛川市,2000,1
掛川市,2001,1
掛川市,2002,1
掛川市,2003,1
掛川市,2004,1
掛川市,2005,1
掛川市,2006,1
掛川市,2007,1
掛川市,2008,1
掛川市,2009,1
掛川市,2010,1
掛川市,2011,1
掛川市,2012,1
掛川市,2013,1
掛川市,2014,1
掛川市,2015,1
掛川市,2016,1
掛川市,2017,1
掛川市,2018,1
掛川市,2019,1
掛川市,2020,1
掛川市,2021,1
新潟市,1992,0
新潟市,1993,0
新潟市,1994,0
新潟市,1995,0
新潟市,1996,0
新潟市,1997,0
新潟市,1998,0
新潟市,1999,0
新潟市,2000,0
新潟市,2001,0
新潟市,2002,0
新潟市,2003,0
新潟市,2004,0
新潟市,2005,0
新潟市,2006,0
新潟市,2007,0
新潟市,2008,0
新潟市,2009,0
新潟市,2010,0
新潟市,2011,0
新潟市,2012,0
新潟市,2013,0
新潟市,2014,0
新潟市,2015,0
新潟市,2016,0
新潟市,2017,0
新潟市,2018,0
新潟市,2019,0
新潟市,2020,0
新潟市,2021,0
明石市,1992,1
明石市,1993,1
明石市,1994,1
明石市,1995,1
明石市,1996,1
明石市,1997,1
明石市,1998,1
明石市,1999,1
明石市,2000,1
明石市,2001,1
明石市,2002,1
明石市,2003,1
明石市,2004,1
明石市,2005,1
明石市,2006,1
明石市,2007,1
明石市,2008,1
明石市,2009,1
明石市,2010,1
明石市,2011,1
明石市,2012,1
明石市,2013,1
明石市,2014,1
明石市,2015,1
明石市,2016,1
明石市,2017,1
明石市,2018,1
明石市,2019,1
明石市,2020,1
明石市,2021,1
